Brand,Name,Estate,District,Elevation MASL,Source Classification,Varietals,Fermentation,Process,Roast,Flavour Profile,Notes,Price/100 gms,Link,Sample Pack
Corridor Seven,August Rush Blend,,,1450-1524,Blend,"SLN - 9, SLN - 795",,,Medium,Almonds • Cotton Candy • Prunes,,₹320.00,LINK,Yes
Corridor Seven,Baabara Estate Washed Process,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 795,,Washed,Medium,Honey • Milk Chocolate,,₹296.00,LINK,Yes
Corridor Seven,Barista Forte Blend,,,,Blend,,,Washed,Medium,Cacao • Nutmeg,,₹296.00,LINK,No
Corridor Seven,Vienna Roast,,"Chikkamagaluru, Karnataka",1260,,"Catura, SLN - 795",,Washed,Dark,Cacao Nibs • Dark Chocolate,,₹284.00,LINK,No
Corridor Seven,LEAN Blend,,,,Blend,Arabica,,Washed,Medium,Cinnamon,,₹284.00,LINK,No
Corridor Seven,French Roast,,"Chikkamagaluru, Karnataka",1260,,Catura,,Washed,Vienna Roast,,,₹284.00,LINK,No
Corridor Seven,Brim Blend,,,,Blend,,,Washed,Medium,Brown Sugar • Cinnamon • Roasted Hazelnuts,,₹248.00,LINK,No
Curious Life Coffee,Gundikhan Washed Lot 799,Gundikhan Estate,"Chikkamagaluru, Karnataka",1350,Single Estate,Chandragiri SLN - 13,,Washed,Light,Candied Tangerines,,₹396.00,LINK,No
Curious Life Coffee,Gundikhan Natural Lot 15 & 57,Gundikhan Estate,"Chikkamagaluru, Karnataka",1350,Single Estate,Chandragiri SLN - 13,,Natural,Light,Apple • Guava • Sweet Citrus,,₹380.00,LINK,No
Curious Life Coffee,"Bison, House Blend Espresso",Bison Estate,"Dindigul, Tamilnadu",1350,,Arabica,,,Medium,Cacao • Chocolate • Wild Berries,,₹340.00,LINK,No
Curious Life Coffee,Honnametti Estate Washed Espresso,Honnametti Estate,"Chamrajanagar, Karnataka",1700,Single Estate,San Ramon Arabica,,Washed,Medium,Black Tea • Cocoa • Spices,,₹332.00,LINK,No
Dancing Goat,Blossom,,"Chikkamagaluru, Karnataka",1300,Single Estate,,Cofermentation,,Light Medium,Almond • Orange • Toffee,,₹320.00,LINK,No
Dancing Goat,Baarbara Estate,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,,,Washed,Dark,Caramel • Dark Chocolate • Walnuts,,₹240.00,LINK,No
Dancing Goat,Hunkal Estate,Hunkal Estate,"Chikkamagaluru, Karnataka",1500,Microlot,,,Honey,Medium,Cacao • Orange • Sweet Lime,,₹240.00,LINK,No
Dancing Goat,Ratnagiri Estate Estate,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,,,Washed,Dark,Cherry • Milk Chocolate • Raisins,,₹225.00,LINK,No
Dancing Goat,DG Espresso Roast,,"Kodagu, Karnataka",1200,,,,Washed,Dark,Cocoa • Dark Chocolate,,₹200.00,LINK,No
Dancing Goat,DG Microlot #1,,"Kodagu, Karnataka",1300,Microlot,,,Natural,Medium Dark,Caramel • Dark Chocolate • Lemon Zest • Nuts,,₹200.00,LINK,No
Davrah Coffee,Vasantham,"Kolli Malai, Yercaud","Namakkal, Salem, Tamilnadu",1200-1450,Blend,"Catura, SLN - 9",Anaerobic,Natural + Washed,,Berry Jam • Caramel • Milk Chocolate,,₹210.00,LINK,No
Davrah Coffee,Amudham,Yercaud,"Salem, Tamilnadu",1400,,Arabica,,Washed,,,,₹200.00,LINK,No
Davrah Coffee,Kolli Kappi,Kolli Malai,"Namakkal, Tamilnadu",1200,Single Estate,SLN - 9,Anaerobic,Washed,,,,₹200.00,LINK,No
Davrah Coffee,Centum,Chikkamaguluru + Yercaud,"Chikkamagaluru, Karnataka | Salem, Tamilnadu",1000-1400,Blend,Arabica,,Natural + Washed,,,,₹190.00,LINK,No
Davrah Coffee,Pramadham,"Chikkamagaluru, Coorg, Yercaud","Kodagu, Chikkamagaluru, Karnataka | Salem, Tamilnadu",950-1450,Blend,Arabica + Robusta,,Natural + Washed,Omni Roast,,,₹170.00,LINK,No
Davrah Coffee,Top Takkar,"Coorg, Yercaud","Kodagu, Karnataka | Salem, Tamilnadu",900-1400,Blend,Arabica + Robusta,,Natural + Washed,,,,₹160.00,LINK,No
Davrah Coffee,Sugam,"Chikkamagaluru, Coorg","Chikkamagaluru, Kodagu, Karnataka",900-1000,Blend,Arabica + Robusta,,Natural + Washed,,,,₹150.00,LINK,No
Devan's,Celebration Blend,,,,Blend,,,,Medium,,,₹420.00,LINK,No
Devan's,Monsooned Malabar,,"Chikkamagaluru, Karnataka",1400,,Arabica,,Monsooned,Light Medium,,,₹225.00,LINK,No
Devan's,Organic Arabica,,"Chikkamagaluru, Karnataka",1300,,Arabica,,,Light Medium,,,₹225.00,LINK,No
Devan's,Arabica Plantation - AAA Mysore Nuggets,,"Chikkamagaluru, Karnataka",1750,,Arabica,,,Medium,,,₹225.00,LINK,No
Devan's,Arabica Plantation - AAA Dark Roast,,"Chikkamagaluru, Karnataka",1750,,Arabica,,,Medium,,,₹225.00,LINK,No
Devan's,Oriental Espresso Blend,,"Chikkamagaluru, Kodagu, Karnataka",,Blend,Arabica,,,Dark,,,₹210.00,LINK,No
Devan's,Arabica Peaberry,,"Chikkamagaluru, Karnataka",1400,,Arabica Peaberry,,,Dark,,,₹210.00,LINK,No
Devan's,Viennese Blend,,"Chikkamagaluru, Karnataka",1300,Blend,,,,Dark,,,₹210.00,LINK,No
Devan's,Arabica French Roast,,"Chikkamagaluru, Karnataka",1500,,Arabica,,,French Roast,,,₹210.00,LINK,No
Devan's,Lodhi Blend,,,,Blend,Arabica,,,,,,₹210.00,LINK,No
Devan's,Arabica Peaberry,,"Chikkamagaluru, Karnataka",1400,,Arabica Peaberry,,,Light,,,₹200.00,LINK,No
Devan's,Arabica Plantation - AA,,"Chikkamagaluru, Karnataka",,,Arabica,,,Medium,,,₹200.00,LINK,No
Devan's,Special Blend,,"Chikkamagaluru, Karnataka",1400,Blend,Arabica Peaberry + Arabica,,,Medium,,,₹200.00,LINK,No
El Bueno,Whisk it Up!,Harley Estate,"Hassan, Karnataka",1130,Single Estate,SLN - 9,,Washed + Aged,Medium,Green Apple • Irish Cream,Whiskey Barrel Aged,₹384.00,LINK,Yes
El Bueno,Berried Treasure,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Mosto,Natural - Dark Room,Light Medium,Cacao • Stewed Berries,Anerobic fermentation in bio fermenters for 48 hours with lab isolated microbes before drying on raised beds for 23 days as a natural processed coffee,₹352.00,LINK,Yes
El Bueno,Cacao Me Crazy!,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Hemavathi,Robusta Mosto,Natural,Medium,Dark Chocolate • Molasses • Raisin,In cherry fermentation for 36 hours with inoculated with lab microbes with vacuum impregnation process and dried on raised beds for 26 days,₹352.00,LINK,Yes
El Bueno,Golden Glow,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Arabica,,Washed,Medium,Caramel • Green Apple,,₹352.00,LINK,Yes
El Bueno,Lime Wired,Odissi Coffee,"Koraput, Odisha",1000,Single Estate,Chandragiri SLN - 13,,Honey,Light Medium,Orange Candy • Raisins • Zesty Lime,,₹336.00,LINK,Yes
El Bueno,Sunset Slurp,Odissi Coffee,"Koraput, Odisha",1000,Single Estate,"Chandragiri SLN - 13, SLN - 9",,Natural,Light Medium,Brown Sugar • Guava • Mixed Berries,,₹336.00,LINK,Yes
El Bueno,Apple Of My Brew,Amruthavarshini Estate,"Chikkamagaluru, Karnataka",1000,Single Estate,SLN - 9,Anaerobic,,Light Medium,Apple Compote • Lemon Verbana,,₹336.00,LINK,Yes
El Bueno,Sweet Buzz,Venkids Valley Estate,"Kodagu, Karnataka",1000,Single Estate,Catuai,,Honey,Medium,Caramel • Jasmine,,₹336.00,LINK,Yes
El Bueno,Pouring Plums,Gungegiri Estate,"Chikkamagaluru, Karnataka",1340,Single Estate,SLN - 795,Osmotic,Honey,Medium,Citrus Zest • Milk Chocolate • Ripe Plum,,₹336.00,LINK,Yes
El Bueno,Jaggery Pop,Anai Kadu Estate,"Kodagu, Karnataka",1000,Single Estate,SLN - 795,Anaerobic,Natural,Medium,Jaggery • Plum • Praline,,₹336.00,LINK,No
El Bueno,Choc Out Loud,Bisal Munti,"Mandya, Karnataka",650,Single Estate,Chandragiri SLN - 13,,Natural,Medium Dark,Dark Chocolate • Dried Figs • Toasted Hazelnuts,,₹336.00,LINK,Yes
El Bueno,The Weekend,,,,Blend,Arabica,,,Medium Dark,Milk Chocolate,,₹312.00,LINK,Yes
El Bueno,Signature Blend,"Baarbara Estate, Ratnagiri Estate Estate","Chikkamagaluru, Karnataka",1300-1400,Blend,Arabica,,Natural + Washed,Medium Dark,Jack Fruit • Milk Chocolate • Nougat,,₹296.00,LINK,Yes
El Bueno,Hello Monday,,,,Blend,Arabica,,Natural + Washed,Medium,Sweet Citrus,,₹288.00,LINK,Yes
El Bueno,Molten Mornings,"Baarbara Estate, Thogarihunkal Estate","Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 795,,Washed,Vienna Roast,Jack Fruit • Lemongrass,,₹288.00,LINK,Yes
El Bueno,El Perfecto,,,,Blend,80% Arabica + 20% Robusta,,,Medium,Cacao • Roasted Almonds,,₹264.00,LINK,Yes
El Bueno,Bean There,,,,Blend,Arabica + Robusta,,Natural + Washed,Dark,Caramel • Dark Chocolate • Prunes,,₹256.00,LINK,Yes
El Bueno,Spill The Beans,,,,Blend,70% Arabica + 30% Robusta,,,Dark,Caramel • Dark Chocolate • Orange,,₹256.00,LINK,Yes
El Bueno,Jam Session,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Anaerobic Inoculation,Honey,Light Medium,Honey • Red Apple,,₹256.00,LINK,Yes
El Bueno,Cascara,Salawara Estate,"Hassan, Karnataka",1130,Single Estate,SLN - 9,,Washed,Medium,Honey • Molasses,,₹160.00,LINK,No
Eventide,Koji Cloud,Yercaud,"Salem, Tamilnadu",1550,Microlot,,Cofermentation,Honey,Light Medium,Sake • Stone Fruit,,₹450.00,LINK,No
Eventide,Clementime,,Nagaland,1350,,Chandragiri SLN - 13,Hydro,Natural,Light Medium,Cherries • Honey,,₹450.00,LINK,No
Eventide,Honeycrisp,Yercaud,"Salem, Tamilnadu",,Microlot,Yellow Bourbon,,Natural,Light Medium,Floral,,₹450.00,LINK,No
Eventide,Cherry Wine,Balmaadi Estate,"Nilgiris, Tamilnadu",1700,Microlot,,Anaerobic,Natural,Light Medium,Honey • Red Cherries • Tartaric Acid,,₹450.00,LINK,No
Eventide,Ma Cherie,Kodaikanal,"Dindigul, Tamilnadu",1300,,Sarchimor,,Washed,Light Medium,Cherry • Yuzu,,₹450.00,LINK,No
Eventide,Peach Eyes,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,"Catuai, Chandragiri SLN - 13",Thermal Shock,,Omni Roast,Cherry Cola • Prunes,,₹450.00,LINK,No
Eventide,Sweet Nothings,Koraput Estate,"Koraput, Odisha",1000,Single Estate,"Chandragiri SLN - 13, SLN - 9",,Honey,Light Medium,Amla • Jaggery,,₹375.00,LINK,No
Eventide,Mundane Routine,"Coorg, Nagaland, Yercaud","Kodagu, Karnataka | Nagaland | Salem, Tamilnadu",,Blend,80% Arabica + 20% Robusta,Hydro (Arabica) + Anaerobic Inoculation (Arabica + Robusta),Natural + Washed,Medium Dark,,,₹375.00,LINK,No
Five Farms,Omkara,Kambibane,"Kodagu, Karnataka",609,Blend,60% Arabica + 40% Robusta,,,,,,₹260.00,LINK,No
Five Farms,Chaundikad,,"Kodagu, Karnataka",,,Arabica,,Natural,Medium,,,₹220.00,LINK,No
Five Farms,Palangaala,,,,,,,Natural,Medium,Cocoa,,₹220.00,LINK,No
Five Farms,OT,Crystal Valley,"Kodagu, Karnataka",985,Microlot,,Anaerobic Inoculation,Natural,Medium,Cinnamon • Zesty Ginger,This unique coffee is crafted through a meticulous fermentation process using a yeast culture derived from a spiced cinnamon and ginger wine popularly called OT or ‘The other thing’.,₹220.00,LINK,No
Five Farms,Ceratto,Crystal Valley,"Kodagu, Karnataka",985,Microlot,,Carbonic,,Medium,Plum • Chocolate,,₹220.00,LINK,No
Five Farms,Tangerine,Crystal Valley,"Kodagu, Karnataka",985,Microlot,,Cofermentation,,Medium,Berries,,₹220.00,LINK,No
Five Farms,Malhar Monsoon Malabar,,"Kodagu, Karnataka",,,,,Monsooned,Medium,,,₹200.00,LINK,No
Five Farms,Eterna,,,,Blend,,,Washed,Medium,,,₹200.00,LINK,No
Five Farms,Malhar Extra Bold Mysore Nuggets,,"Kodagu, Karnataka",,,,,,French Roast,,,₹190.00,LINK,No
Five Farms,The Artist's Blend Honey Wash,,"Kodagu, Karnataka",609,,,,Honey,Medium,,,₹180.00,LINK,No
Five Farms,Malakodu Honey Wash AAA,Malakodu Estate,"Kodagu, Karnataka",,Single Estate,,,Honey,Medium,,,₹178.00,LINK,No
Five Farms,Malakodu Monsoon Malabar,Malakodu Estate,"Kodagu, Karnataka",,Single Estate,,,Monsooned,Medium,,,₹178.00,LINK,No
Five Farms,Malakodu Plantation AAA,Malakodu Estate,"Kodagu, Karnataka",,Single Estate,Arabica,,Washed,,,,₹167.00,LINK,No
Five Farms,Pi,,"Kodagu, Karnataka",609,,Arabica Peaberry,,,Custom,,,₹160.00,LINK,No
Five Farms,The Artist's Blend Stream Glory Breakfast Robusta,,"Kodagu, Karnataka",609,,Robusta,,,Medium,,,₹160.00,LINK,No
Five Farms,Morning Mist,Malakodu Estate,"Kodagu, Karnataka",,Single Estate,Arabica,,Washed,Medium Dark,,,₹160.00,LINK,No
Five Farms,Malakodu Select Premium Espresso Blend,Malakodu Estate,"Kodagu, Karnataka",,Blend,70% Arabica + 30% Robusta,,,,Caramel • Dark Chocolate,,₹152.00,LINK,No
Five Farms,Malakodu Single Estate Arabica,Malakodu Estate,"Kodagu, Karnataka",,Single Estate,Arabica,,Washed,Custom,,,₹144.00,,
Five Farms,Malakodu Arabica Cherry Naturals,Malakodu Estate,"Kodagu, Karnataka",,Single Estate,Arabica,,Natural,,,,₹141.00,LINK,No
Five Farms,Malhar Robusta Royale,,,,,Robusta,,,Medium,,,₹140.00,LINK,No
Five Farms,Malakodu by Karna - Coffee Naturale,Malakodu Estate,"Kodagu, Karnataka",,Blend,60% Arabica + 40% Robusta,,,,Berries • Dark Chocolate,,₹140.00,LINK,No
Five Farms,Malakodu Robusta Royale,Malakodu Estate,"Kodagu, Karnataka",,Single Estate,Robusta,,Washed,Custom,,,₹122.00,LINK,No
Five Farms,Malakodu Classic Espresso Blend,Malakodu Estate,"Kodagu, Karnataka",,Blend,70% Arabica + 30% Robusta,,Washed,,,,₹122.00,LINK,No
Fraction 9,Rum Barrel No 9,Kalathgiri,"Chikkamagaluru, Karnataka",,Nanolot,SLN - 795,,Honey + Washed + Aged,Light,Apple Juice • Blueberries • Rum • Salted Pistachio,Aged in rum barrels,₹394.00,LINK,No
Fraction 9,Frozen Cherry Imperial,Jannapura Estate,"Chikkamagaluru, Karnataka",1150,Nanolot,SLN - 795,"Frozen, Anaerobic Inoculation",Natural,Light,Apple • Cherry • Cola • Earl Grey,"This lot begins with carefully handpicked, fully ripened coffee cherries that are frozen in an industrial freezer for 48 hours. This freezing step enhances cellular breakdown, allowing deeper infusion of flavours during the next stage. The cherries are then anaerobically fermented with yeast, developing a complex and layered profile, before being slowly dried on raised beds for 18 days",₹356.00,LINK,No
Fraction 9,Ratnagiri Estate Red Spectrum,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Nanolot,SLN - 9,Hydro,Honey,Light,Guava • Orange Zest • Papaya • Passionfruit • Pomegranate • Raisins,,₹320.00,LINK,No
Fraction 9,Caramelized Lychee,CT Estate,"Chikkamagaluru, Karnataka",1200,Nanolot,"Chandragiri SLN - 13, SLN - 5B",,Honey,Light,Honey • Floral Tea • Lychee • Mulberry,,₹306.00,LINK,No
Fraction 9,Traditional Blend,,,,Blend,80% Arabica + 20% Robusta,,,Dark,Cocoa • Peanut,,₹248.00,LINK,No
Fraction 9,Vienna Roast,,,,Blend,Arabica,,,Dark,Cocoa • Oak,,₹248.00,LINK,No
Fraction 9,Sweet Roast,,,,,Arabica,,,Light,Citrus • Orange Blossom,,₹248.00,LINK,No
Fraction 9,Breakfast Roast,Kalyancool,"Chikkamagaluru, Karnataka",1100,Single Estate,Arabica,,,Medium,Hazelnut • Plum,,₹248.00,LINK,No
Fraction 9,Christmas Roast,,"Chikkamagaluru, Karnataka",1300,Blend,SLN - 795,,Washed,Medium Dark,Dark Chocolate • Figs • Roasted Almonds,,₹248.00,LINK,No
Fraction 9,Cacppuccino Blend,,,,Blend,80% Arabica + 20% Robusta,,,Medium Dark,Milk Chocolate • Roasted Nuts,,₹248.00,LINK,No
Fraction 9,French Roast,,,,,Arabica,,,Vienna Roast,Cocoa,,₹248.00,LINK,No
Fraction 9,Kardigandi Bright Zest,Kardigandi Estate,"Chikkamagaluru, Karnataka",1220,Single Estate,Chandragiri SLN - 13,,Natural,Light,Brown Sugar • Chocolate • Stone Fruits • Sweet Lime,,₹240.00,LINK,No
Fraction 9,Prabal,,"Chikkamagaluru, Karnataka",1100,,Robusta CxR,,,Dark,,,₹212.00,LINK,No
Fraction 9,Everyday Gold,,"Chikkamagaluru, Karnataka",,,Arabica,,Washed,Custom,Brown Sugar • Cocoa • Date • Roasted Hazelnut,,₹174.00,LINK,No
GB Roasters,Ekate An. Naturals,Ekata,"Chikkamagaluru, Karnataka",1600,Single Estate,"Chandragiri SLN - 13, SLN - 9, SLN - 795",Anaerobic,Natural,,Almonds • Caramel • Jackfruit • Pear,,₹471.00,LINK,No
GB Roasters,Naga Washed,,Nagaland,1280,,SLN - 9,,Washed,,Caramel • Honey • Milk Chocolate,,₹294.00,LINK,No
GB Roasters,Mudremane Estate Washed,Mudremane,"Chikkamagaluru, Karnataka",1200,Single Estate,Chandragiri SLN - 13,,Washed,Custom,Black Tea • Molasses • Sugarcane,,₹206.00,LINK,No
GB Roasters,Monsooned Malabar,,,,,,,,Custom,Dark Chocolate • Nutty,,₹206.00,LINK,No
Genetics Coffee,Jack Sparrow,Sakleshpur,"Hassan, Karnataka",1050,Single Estate,Arabica,,Aged,,Dark Chocolate • Molasses • Oak Barrel • Spiced Rum,,₹625.00,LINK,No
Genetics Coffee,Ibadat,Bison Estate,"Dindigul, Tamilnadu",1350,Single Estate,SLN - 9,Anaerobic,Natural,Omni Roast,Black Cherry • Bloos Orange • Cantaloupe • Wild Honey,SCA Cup Score:86.5,₹600.00,LINK,No
Genetics Coffee,Nargis,Orchardale,"Salem, Tamilnadu",1520,Single Estate,"SLN - 9, SLN - 795",Anaerobic,Natural,Omni Roast,Caramel • Dried Carnation • Mandarin Zest • Yellow Plum,SCA Cup Score:86.5,₹600.00,LINK,No
Genetics Coffee,Flores Blancas,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Anaerobic Inoculation,Natural,Light,Bergamot • Dried Plum • Jasmine • Water Apple,SCA Cup Score:88.25,₹557.00,LINK,No
Genetics Coffee,Blossom Naturals,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Anaerobic Inoculation,Natural,Light,Freesia • Lychee • Nectarine • Rose Florals • Tangerine Zest,"96 hours fermentation, SCA Cup Score:88",₹495.00,LINK,No
Genetics Coffee,SL-28 Thermal Shock,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 28,Anaerobic Inoculation Thermal Shock,,Light Medium,Biscotti • Concord Grapes • Maple Syrup • Tangerine,36 Hr Anaerobic with Yeast and Thermal Shock,₹495.00,LINK,No
Genetics Coffee,Mohabbat,Dimbada Estate,"Salem, Tamilnadu",950,Single Estate,Excelsa aka Liberica,Cofermentation,Natural,Medium,Dried Berries • Dried Figs • Prunes,"48 Hrs Anaerobic Coferment with Cashew Fruit, SCA Cup Score:87",₹495.00,LINK,No
Genetics Coffee,SL-28 CM Honey,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 28,Carbonic,Honey,Light Medium,Cranberry • Dark Chocolate • Litchi • Rose,SCA Cup Score:86,₹455.00,LINK,No
Genetics Coffee,Blossom Washed,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Carbonic Inoculation,Washed,Light Medium,Litchi • Passion Fruit • Rose • Tangerine • Wild Honey,"90Hrs Sequential Yeast Culture, SCA Cup Score:87",₹455.00,LINK,No
Genetics Coffee,Excelsa Naturals,Dimbada Estate,"Salem, Tamilnadu",950,Single Estate,Excelsa aka Liberica,Anaerobic Inoculation,,Light Medium,Black Raisins • Dark Berries • Dried Prunes • Nougat,"110 Hr Sequential Fermentation, SCA Cup Score: 86",₹446.00,LINK,No
Genetics Coffee,Wat-o-Melon,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Cofermentation,Natural,Light Medium,Blueberry • Dark Chocolate • Prunes,,₹375.00,LINK,No
Genetics Coffee,Love Blend,,,1300-1500,,"Catuai, SLN - 9",Anaerobic Inoculation,Washed,Medium,Candied Nuts • Dark Chocolate • Passion Fruit • Rose,SCA Cup Score:87,₹350.00,LINK,No
Genetics Coffee,Monsooned Malabar,,,,,SLN - 9,,Monsooned,Medium,Frosted Dark Chocolate • Molasses • Nuts,,₹280.00,LINK,No
Genetics Coffee,House Blend,Various,Karnataka,1200-1500,Blend,,,Washed,Medium,Caramel • Date • Milk Chocolate • Orange Peel,,₹280.00,LINK,No
Genetics Coffee,Paradise,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,Catuai,Cofermentation,Natural,Light Medium,Grapes • Honey • Lemon Zest • Sweet Lime,48 Hr carbonic maceration with pineapple,₹195.00,LINK,No
Grey Soul,Pink Lemonade,Tsiese Estate,Nagaland,1350,Single Estate,Chandragiri SLN - 13,Anaerobic,Natural,Light,Citrus • Dried Figs • Green Grapes • Orange • Red Apple,,₹450.00,LINK,No
Grey Soul,Mogra,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 9,Anaerobic Inoculation,Natural,Light,Jasmine • Sweet Lime • Vanilla,,₹450.00,LINK,No
Grey Soul,The Yellow Lot,Ratnagiri Estate,"Chikkamagaluru, Karnataka",1300,Single Estate,SLN - 9,Anaerobic + Thermal Shock,Natural,Medium,Banana • Milk Chocolate • Tropical Fruit,,₹450.00,LINK,No
Grey Soul,Summer in Kodaikanal,St Joseph Estate,"Dindigul, Tamilnadu",1200,Single Estate,"Catuai, Chandragiri SLN - 13, SLN - 9",,Natural,Light,Cacao • Mandarin • Ripe Strawberries,,₹400.00,LINK,No
Grey Soul,Shevaroys Washed,PKC Kudiraipanjan Estate,"Salem, Tamilnadu",1400,Single Estate,"Catimor Arabica, SLN - 9",,Washed,Light Medium,Cacao Nibs • Green Grapes • Plum • Pomogranates,,₹400.00,LINK,No
Grey Soul,Raspberry in Loop,,"Chikkamagaluru, Karnataka",1280,,"Chandragiri SLN - 13, SLN - 795",Anaerobic,Natural,Medium,Mandarin • Milk Chocolate • Raspberry,"Anaerobic fermentation done in 3 stages for 72 hours , 48 hours and 24 hours consecutively. Eventually sun-dried on raised beds for a extended period.",₹400.00,LINK,No
Grey Soul,Strawberry in Loop,,"Chikkamagaluru, Karnataka",1370,Blend,Various,Various,Various,Medium,Milk Chocolate • Raspberry • Strawberry,,₹400.00,LINK,No
Grey Soul,Roaster Espresso,,"Chikkamagaluru, Karnataka",1200,Blend,"Chandragiri SLN - 13, SLN 5B, SLN - 9",,,Medium,Almonds • Chocolate • Red Berries,,₹400.00,LINK,No
Grey Soul,Odisha Fermented Naturals,Koraput Estate,"Koraput, Odisha",1100,Single Estate,"Chandragiri SLN - 13, SLN - 9",,Natural,Light,Maple Syrup • Plum • Pomogranate,,₹350.00,LINK,No
Grey Soul,Ultra Light Nagaland,"Mokochung, Nagaland",Nagaland,1350,Single Estate,"Chandragiri SLN - 13, SLN - 9",,Natural,Light,Cranberry • Kiwi • Mandarin • Tamarind,,₹350.00,LINK,No
Half Light,Banana Kent,Balanoor Estate,"Chikkamagaluru, Karnataka",1200,Single Estate,Kent,,Pulp Sun Dried,Medium,Cocoa • Jaggery • Plum,Honey is shade dried under banana leaves,₹288.00,LINK,Yes
Half Light,Salawara Naturals #02,Balur Estate,"Hassan, Karnataka",1035,Single Estate,"Chandragiri SLN - 13, SLN - 795",Anaerobic Inoculation,Natural,Light,Apricot • Strawberry,72 hour fermentation,₹280.00,LINK,Yes
Half Light,Tripura Hills,Jampui Hills,"North Tripura, Tripura",950,Single Estate,SLN - 5B,,Natural,Light Medium,Caramel • Toasted Nuts • White Chocolate,"Waribok Daribok is a specialized coffee producer-processor based in the Garo Hills of Meghalaya, India, known for producing high-quality specialty coffee, particularly through natural and experimental fermentation methods.",₹268.00,LINK,Yes
Half Light,MS Estate,MS Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,SLN - 795,,Washed,Custom,Berries • Peach • Walnut,,₹240.00,LINK,Yes
Hebbey,anugra,Thogarihunkal,"Chikkamagaluru, Karnataka",1150,Single Estate,,Anaerobic,Natural,Light,Gingerbread • Plum • Wine,,₹230.00,LINK,No
Hebbey,Monsoon Malabar|Thogarihunkal Estate,Thogarihunkal,"Chikkamagaluru, Karnataka",1150,Single Estate,,,Natural + Monsooned,Light,Malt • Nuts • Spice,,₹210.00,LINK,No
Hebbey,Honey Processed Blend|Thogarihunkal Estate,Thogarihunkal,"Chikkamagaluru, Karnataka",1150,Single Estate,,,Honey + Washed,Light,Cinnamon • Jackfruit • Pineapple,,₹200.00,LINK,Yes
Hebbey,100% Arabica | Thogarihunkal Estate,Thogarihunkal,"Chikkamagaluru, Karnataka",1150,Single Estate,,,Washed,Light Medium,Cocoa • Orange Candy • Sweet Lime,,₹170.00,LINK,No
Hebbey,Arabica Robusta Blend | Thogarihunkal Estate,Thogarihunkal,"Chikkamagaluru, Karnataka",1150,Blend,,,Natural + Washed,Medium,Citrus • Grape • Marmalade,,₹170.00,LINK,No
Hermit Coffee,Sunrise Blend,,,,Blend,80% Arabica + 20% Robusta,,,Medium Dark,,,₹275.00,LINK,Yes
Hermit Coffee,Original Blend,Baarbara Estate,"Chikkamagaluru, Karnataka",1400,Single Estate,Arabica,,,Medium Dark,,,₹275.00,LINK,Yes
Hermit Coffee,Vienna Roast,,"Chikkamagaluru, Karnataka",,Blend,Arabica,,,Vienna Roast,,,₹275.00,LINK,Yes
Hermit Coffee,Monsooned Malabar,,"Chikkamagaluru, Karnataka",,,SLN - 795,,Monsooned,Medium,,,₹260.00,LINK,No
Hill Groove,Moganad Estate,"Venkids Valley Estate, Moganad Estate","Kodagu, Karnataka | Salem, Tamilnadu",1000-1300,,SLN - 9,,Pulp Sun Dried,Light,Jasmine • Peach • Tea,Double fermented,₹800.00,LINK,No
Hill Groove,Lithanro Partner Farms,Lithanro Partner Farms,"Wokha, Nagaland",1400,,"SLN - 9, SLN - 15",,Honey,Light,Plum • Tamarind,,₹400.00,LINK,No
